ts,tag,run,model_banner,head_mb,psram_free_kb,tokens,seconds,tok_per_s,ms_per_tok,ms_input,ms_attn,ms_ffn,ms_ple,ms_head
2026-08-05T18:28:08,ple-Os,1,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,30.75,6.50,151.6,4.9,32.0,7.8,9.6,97.3
2026-08-05T18:28:43,ple-Os,2,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,30.87,6.48,152.2,4.9,32.2,7.8,9.6,97.7
2026-08-05T18:29:18,ple-Os,3,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,30.75,6.50,151.6,4.9,32.0,7.8,9.6,97.3
2026-08-05T18:29:54,ple-Os,4,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,30.75,6.50,151.6,4.9,32.0,7.8,9.6,97.3
2026-08-05T18:30:29,ple-Os,5,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,30.87,6.48,152.2,4.9,32.2,7.8,9.6,97.7
2026-08-05T18:43:23,ple-O3,1,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,21.04,9.51,103.1,4.4,26.2,6.9,8.5,57.1
2026-08-05T18:43:49,ple-O3,2,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,21.17,9.45,103.8,4.4,26.4,6.9,8.5,57.6
2026-08-05T18:44:14,ple-O3,3,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,21.17,9.45,103.8,4.4,26.4,6.9,8.5,57.6
2026-08-05T18:44:40,ple-O3,4,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,21.04,9.51,103.1,4.4,26.2,6.9,8.5,57.1
2026-08-05T18:45:05,ple-O3,5,model: V=32768 D=96 L=6 H=4 F=66 P=128  (mapped 15.6 MB),2.54,4326,200,21.17,9.45,103.8,4.4,26.4,6.9,8.5,57.6
2026-08-05T22:37:28,ple-d32-s0,1,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),3.35,1723,200,35.19,5.68,173.9,1.5,37.3,55.6,3.2,76.3
2026-08-05T22:38:08,ple-d32-s0,2,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),3.35,1723,200,35.20,5.68,173.9,1.5,37.3,55.6,3.2,76.3
2026-08-05T22:38:48,ple-d32-s0,3,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),3.35,1723,200,34.97,5.72,172.8,1.5,37.0,55.6,3.2,75.5
2026-08-05T22:39:28,ple-d32-s0,4,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),3.35,1723,200,35.19,5.68,173.9,1.5,37.3,55.6,3.2,76.3
2026-08-05T22:40:07,ple-d32-s0,5,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),3.35,1723,200,35.19,5.68,173.9,1.5,37.3,55.6,3.2,76.3
2026-08-05T22:41:15,ple-d64-s0,1,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),3.35,1721,200,34.82,5.74,172.0,2.9,35.8,51.7,5.8,75.8
2026-08-05T22:41:54,ple-d64-s0,2,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),3.35,1721,200,34.62,5.78,171.0,2.9,35.5,51.7,5.8,75.2
2026-08-05T22:42:33,ple-d64-s0,3,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),3.35,1721,200,34.82,5.74,172.0,2.9,35.8,51.7,5.8,75.8
2026-08-05T22:43:13,ple-d64-s0,4,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),3.35,1721,200,34.62,5.78,171.0,2.9,35.5,51.7,5.8,75.2
2026-08-05T22:43:52,ple-d64-s0,5,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),3.35,1721,200,34.62,5.78,171.0,2.9,35.5,51.7,5.8,75.2
2026-08-05T22:45:10,ple-d128-s0,1,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),3.35,1717,200,34.76,5.75,171.7,5.6,35.7,43.6,10.8,76.0
2026-08-05T22:45:50,ple-d128-s0,2,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),3.35,1717,200,34.75,5.76,171.7,5.6,35.7,43.6,10.8,76.0
2026-08-05T22:46:29,ple-d128-s0,3,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),3.35,1717,200,34.50,5.80,170.4,5.6,35.4,43.6,10.8,75.0
2026-08-05T22:47:08,ple-d128-s0,4,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),3.35,1717,200,34.75,5.76,171.7,5.6,35.7,43.6,10.8,76.0
2026-08-05T22:47:47,ple-d128-s0,5,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),3.35,1717,200,34.75,5.76,171.7,5.6,35.7,43.6,10.8,76.0
2026-08-05T22:49:28,ple-d256-s0,1,model: V=4096 D=128 L=6 H=4 F=223 P=256  (mapped 15.6 MB),3.35,1709,200,34.59,5.78,170.9,11.0,35.5,27.9,21.4,75.0
2026-08-05T22:50:07,ple-d256-s0,2,model: V=4096 D=128 L=6 H=4 F=223 P=256  (mapped 15.6 MB),3.35,1709,200,34.59,5.78,170.9,11.0,35.5,27.9,21.4,75.0
2026-08-05T22:50:47,ple-d256-s0,3,model: V=4096 D=128 L=6 H=4 F=223 P=256  (mapped 15.6 MB),3.35,1709,200,34.85,5.74,172.1,11.0,35.8,27.9,21.4,76.0
2026-08-05T22:51:26,ple-d256-s0,4,model: V=4096 D=128 L=6 H=4 F=223 P=256  (mapped 15.6 MB),3.35,1709,200,34.59,5.78,170.9,11.0,35.5,27.9,21.4,75.0
