ts,session,tag,run,status,fw_tag,cpu_mhz,flash_hz,flash_mode,model_banner,head_mb,psram_free_kb,temp_start,temp_end,tokens,seconds,tok_per_s,ms_per_tok,ms_input,ms_attn,ms_ffn,ms_ple,ms_head,ms_residual
2026-08-09T21:27:32,verify,ple-d64-s0,1,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),0.54,4476,33.3,36.3,200,22.78,8.78,113.4,2.9,39.0,53.4,5.9,12.3,-0.100
2026-08-09T21:29:58,A,ple-d32-s0@cpu240,1,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),0.54,4478,33.3,36.3,200,22.53,8.88,112.2,1.5,37.6,57.5,3.3,12.3,0.000
2026-08-09T21:30:25,A,ple-d32-s0@cpu240,2,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),0.54,4478,34.3,36.3,200,22.53,8.88,112.2,1.5,37.6,57.5,3.3,12.3,0.000
2026-08-09T21:30:51,A,ple-d32-s0@cpu240,3,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),0.54,4478,35.3,37.3,200,22.53,8.88,112.2,1.5,37.6,57.5,3.3,12.3,0.000
2026-08-09T21:31:17,A,ple-d32-s0@cpu240,4,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),0.54,4478,35.3,37.3,200,22.53,8.88,112.2,1.5,37.6,57.5,3.3,12.3,0.000
2026-08-09T21:31:43,A,ple-d32-s0@cpu240,5,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=447 P=32  (mapped 15.6 MB),0.54,4478,36.3,37.3,200,22.53,8.88,112.2,1.5,37.6,57.5,3.3,12.3,0.000
2026-08-09T21:32:39,A,ple-d64-s0@cpu240,1,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),0.54,4476,34.3,36.3,200,22.78,8.78,113.4,2.9,39.0,53.4,5.9,12.3,-0.100
2026-08-09T21:33:06,A,ple-d64-s0@cpu240,2,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),0.54,4476,35.3,36.3,200,22.78,8.78,113.4,2.9,39.0,53.4,5.9,12.3,-0.100
2026-08-09T21:33:32,A,ple-d64-s0@cpu240,3,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),0.54,4476,35.3,37.3,200,22.78,8.78,113.4,2.9,39.0,53.4,5.9,12.3,-0.100
2026-08-09T21:33:59,A,ple-d64-s0@cpu240,4,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),0.54,4476,36.3,37.3,200,22.78,8.78,113.4,2.9,39.0,53.4,5.9,12.3,-0.100
2026-08-09T21:34:25,A,ple-d64-s0@cpu240,5,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=415 P=64  (mapped 15.6 MB),0.54,4476,36.3,37.3,200,22.79,8.78,113.4,2.9,39.0,53.4,5.9,12.3,-0.100
2026-08-09T21:35:32,A,ple-d128-s0@cpu240,1,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),0.54,4473,34.3,36.3,200,22.66,8.83,112.8,5.6,38.8,45.0,11.0,12.3,0.100
2026-08-09T21:35:59,A,ple-d128-s0@cpu240,2,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),0.54,4473,35.3,37.3,200,22.58,8.86,112.4,5.6,38.6,45.0,11.0,12.2,0.000
2026-08-09T21:36:25,A,ple-d128-s0@cpu240,3,OK,v3-sram-actq,240,80000000,0,model: V=4096 D=128 L=6 H=4 F=351 P=128  (mapped 15.6 MB),0.54,4473,35.3,37.3,200,22.66,8.83,112.8,5.6,38.8,45.0,11.0,12.3,0.100
